outer_fold,SubjectNumber,inner_cv_rmse,alpha,gamma,fit_seconds,subset_id
86,151,1.5178149852642826,0.1,0.01,0.9875700840493664,groups_101111
87,153,1.5196876496333984,0.1,0.01,0.921302167000249,groups_101111
88,154,1.5148379952330515,0.01,0.003,1.005259459023364,groups_101111
89,158,1.5297355377451316,0.1,0.01,0.9500354169867932,groups_101111
90,160,1.53213402762647,0.1,0.01,0.9158507919637486,groups_101111
91,165,1.4822223222557895,0.01,0.003,1.1695760829607025,groups_101111
92,166,1.5030353670536665,0.01,0.003,1.0090532500762492,groups_101111
93,167,1.5158104886156694,0.01,0.003,0.995329459081404,groups_101111
94,169,1.5267138229252426,0.01,0.003,1.071636207983829,groups_101111
95,170,1.524222179216161,0.01,0.003,1.0424572910415009,groups_101111
96,171,1.524205232310716,0.01,0.003,0.9937391249695792,groups_101111
97,172,1.523300982668803,0.01,0.003,0.9760924169095232,groups_101111
98,173,1.5204342803891255,0.01,0.003,0.95895129092969,groups_101111
99,174,1.5105939366438026,0.01,0.003,1.010404207976535,groups_101111
100,176,1.5236436637318351,0.01,0.003,0.9579270420363172,groups_101111
101,178,1.5342206674928012,0.01,0.003,0.9415640420047566,groups_101111
102,181,1.5229913824478996,0.01,0.003,0.9570991250220686,groups_101111
103,183,1.5280539727781448,0.01,0.003,1.0056121670641005,groups_101111
104,185,1.492127944313228,0.01,0.003,0.9564981670118868,groups_101111
105,186,1.5354098430516403,0.01,0.003,0.9599452090915293,groups_101111
106,188,1.5584252068660391,0.01,0.003,0.9546187910018488,groups_101111
107,190,1.530532618782982,0.01,0.003,0.9502649580826984,groups_101111
108,191,1.5424911244614514,0.01,0.003,1.0078495839843526,groups_101111
109,192,1.532735161045265,0.01,0.003,0.9620586250675842,groups_101111
110,193,1.5483127043322351,0.01,0.003,1.0112799589987844,groups_101111
111,195,1.5358642879870363,0.01,0.003,0.939746042015031,groups_101111
112,198,1.5349956559643982,0.01,0.003,0.9407095829956234,groups_101111
113,199,1.5426514403975813,0.01,0.003,1.1378982920432463,groups_101111
114,200,1.5524832890971518,0.01,0.003,0.9349340830231084,groups_101111
115,201,1.5440573166914526,0.01,0.003,1.0030291670700535,groups_101111
1,1,1.5011097124869022,0.0316227766016837,0.003,0.9435205840272828,groups_110111
2,2,1.502720535458081,0.0316227766016837,0.003,0.9351658340310678,groups_110111
3,3,1.486160116821924,0.0316227766016837,0.003,1.022035124944523,groups_110111
4,5,1.50413363038079,0.0316227766016837,0.003,0.9976878750603646,groups_110111
5,6,1.5098163747900069,0.0316227766016837,0.003,0.9306151670170948,groups_110111
6,7,1.5076902353766295,0.0316227766016837,0.003,0.9530332080321386,groups_110111
7,8,1.4946137837527895,0.0316227766016837,0.003,1.0424645419698209,groups_110111
8,9,1.5271757472169372,0.0316227766016837,0.003,0.9432787080295384,groups_110111
9,12,1.5216444503040985,0.0316227766016837,0.003,0.9223116670036688,groups_110111
10,13,1.5154007169977164,0.0316227766016837,0.003,0.9277236660709604,groups_110111
11,14,1.5175012753806425,0.0316227766016837,0.003,0.9836477920180188,groups_110111
12,15,1.5328707805880406,0.0316227766016837,0.003,1.0653632080648094,groups_110111
13,16,1.501591284727114,0.0316227766016837,0.003,1.1040894159814345,groups_110111
14,17,1.5297000592971204,0.0316227766016837,0.003,0.9747971660690382,groups_110111
15,18,1.5256647063034223,0.0316227766016837,0.003,1.0095477079739794,groups_110111
16,19,1.525929471365855,0.0316227766016837,0.003,1.0212491669226438,groups_110111
17,21,1.5084371939315566,0.0316227766016837,0.003,0.9877874589292333,groups_110111
18,22,1.5127203497269714,0.0316227766016837,0.003,0.9867754169972612,groups_110111
19,23,1.538956823726782,0.0316227766016837,0.003,1.1141383749200031,groups_110111
20,24,1.5609530970808083,0.0316227766016837,0.003,0.9424069999950008,groups_110111
21,25,1.5522247681968522,0.0316227766016837,0.003,0.938547124969773,groups_110111
